Situation, Logtime, Duration
shutdown,2017/02/09 13:00:00,300
shutdown,2017/02/11 12:23:00,300
shutdown,2017/02/14 03:40:00,300
shutdown,2017/02/15 19:00:00,300
shutdown,2017/02/20 09:41:00,300
shutdown,2017/02/26 12:23:00,300
shutdown,2017/03/03 12:23:00,300
shutdown,2017/03/08 12:23:00,300
shutdown,2017/03/17 22:00:00,300
shutdown,2017/03/22 13:00:00,300
shutdown,2017/03/25 06:15:00,300
shutdown,2017/03/29 09:04:00,300
shutdown,2017/04/01 12:23:00,300
shutdown,2017/04/07 14:30:00,300
shutdown,2017/04/11 19:00:00,300
shutdown,2017/04/18 15:00:00,300
shutdown,2017/04/21 23:00:00,300
shutdown,2017/04/28 11:11:00,300
shutdown,2017/05/02 15:35:00,300
shutdown,2017/05/05 10:00:00,300
shutdown,2017/05/10 09:17:00,360
shutdown,2017/05/12 17:09:00,300
shutdown,2017/05/19 05:00:00,300
shutdown,2017/05/23 15:50:00,300
shutdown,2017/05/26 22:00:00,300
shutdown,2017/06/03 19:00:00,300
shutdown,2017/06/07 15:00:00,300
shutdown,2017/06/09 22:45:00,300
shutdown,2017/06/10 10:00:00,300
shutdown,2017/06/14 08:00:00,300
shutdown,2017/06/16 15:53:04,151
shutdown,2017/06/16 18:27:57,455
shutdown,2017/06/17 05:49:18,130
shutdown,2017/06/19 08:21:44,215
shutdown,2017/06/19 17:18:05,111
shutdown,2017/06/21 00:48:16,118
shutdown,2017/06/21 00:55:35,257
shutdown,2017/06/21 01:30:42,139
shutdown,2017/06/21 21:11:57,135
shutdown,2017/06/22 13:27:35,131
shutdown,2017/06/22 20:59:45,100
shutdown,2017/06/22 23:42:27,238
shutdown,2017/06/23 05:55:01,121
shutdown,2017/06/23 12:42:51,215
shutdown,2017/06/24 07:59:05,109
shutdown,2017/06/26 08:08:41,1277
shutdown,2017/07/01 14:30:59,105
shutdown,2017/07/01 15:44:41,105
shutdown,2017/07/01 18:28:22,237
shutdown,2017/07/03 19:15:47,132
shutdown,2017/07/03 19:28:19,132
shutdown,2017/07/08 13:08:36,106
shutdown,2017/07/08 15:48:32,119
shutdown,2017/07/10 08:14:49,713
